"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -1.60, -1.60,59636.43
  1.00, -1.60, -0.96,59633.33
  2.00, -1.60, -0.32,59633.29
  3.00, -1.60,  0.32,59632.96
  4.00, -1.60,  0.96,59634.79
  5.00, -0.96, -1.60,59624.62
  6.00, -0.96, -0.96,59633.02
  7.00, -0.96, -0.32,59633.33
  8.00, -0.96,  0.32,59635.92
  9.00, -0.96,  0.96,59634.10
 10.00, -0.32, -1.60,59632.34
 11.00, -0.32, -0.96,59631.22
 12.00, -0.32, -0.32,59636.22
 13.00, -0.32,  0.32,59631.09
 14.00, -0.32,  0.96,59636.09
 15.00,  0.32, -1.60,59636.45
 16.00,  0.32, -0.96,59631.10
 17.00,  0.32, -0.32,59623.93
 18.00,  0.32,  0.32,59632.63
 19.00,  0.32,  0.96,59629.48
 20.00,  0.96, -1.60,59628.72
 21.00,  0.96, -0.96,59632.77
 22.00,  0.96, -0.32,59628.08
 23.00,  0.96,  0.32,59633.10
 24.00,  0.96,  0.96,59631.25
