"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -1.60, -1.60,20964.55
  1.00, -1.60, -0.96,20963.83
  2.00, -1.60, -0.32,20966.75
  3.00, -1.60,  0.32,20963.86
  4.00, -1.60,  0.96,20963.09
  5.00, -0.96, -1.60,20967.23
  6.00, -0.96, -0.96,20963.87
  7.00, -0.96, -0.32,20962.77
  8.00, -0.96,  0.32,20967.61
  9.00, -0.96,  0.96,20964.51
 10.00, -0.32, -1.60,20965.75
 11.00, -0.32, -0.96,20965.68
 12.00, -0.32, -0.32,20962.71
 13.00, -0.32,  0.32,20963.76
 14.00, -0.32,  0.96,20962.78
 15.00,  0.32, -1.60,20963.09
 16.00,  0.32, -0.96,20964.57
 17.00,  0.32, -0.32,20964.77
 18.00,  0.32,  0.32,20959.75
 19.00,  0.32,  0.96,20965.33
 20.00,  0.96, -1.60,20961.07
 21.00,  0.96, -0.96,20965.82
 22.00,  0.96, -0.32,20963.12
 23.00,  0.96,  0.32,20964.67
 24.00,  0.96,  0.96,20972.22
