"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.50, -2.50,22856.08
  1.00, -2.50, -1.50,22857.89
  2.00, -2.50, -0.50,22878.40
  3.00, -2.50,  0.50,22953.24
  4.00, -2.50,  1.50,22959.32
  5.00, -1.50, -2.50,22880.85
  6.00, -1.50, -1.50,22861.70
  7.00, -1.50, -0.50,22899.84
  8.00, -1.50,  0.50,22948.39
  9.00, -1.50,  1.50,22894.58
 10.00, -0.50, -2.50,22933.22
 11.00, -0.50, -1.50,22868.17
 12.00, -0.50, -0.50,22853.63
 13.00, -0.50,  0.50,22856.21
 14.00, -0.50,  1.50,22855.97
 15.00,  0.50, -2.50,22898.28
 16.00,  0.50, -1.50,22862.38
 17.00,  0.50, -0.50,22931.34
 18.00,  0.50,  0.50,22929.06
 19.00,  0.50,  1.50,22892.91
 20.00,  1.50, -2.50,22857.66
 21.00,  1.50, -1.50,22857.73
 22.00,  1.50, -0.50,22925.72
 23.00,  1.50,  0.50,22949.77
 24.00,  1.50,  1.50,22956.68
