"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -3.00, -3.00,14850.52
  1.00, -3.00, -1.80,14848.99
  2.00, -3.00, -0.60,14848.53
  3.00, -3.00,  0.60,14849.77
  4.00, -3.00,  1.80,14850.18
  5.00, -1.80, -3.00,14850.06
  6.00, -1.80, -1.80,14850.26
  7.00, -1.80, -0.60,14854.15
  8.00, -1.80,  0.60,14849.31
 10.00, -0.60, -3.00,14848.30
  9.00, -1.80,  1.80,14848.66
 11.00, -0.60, -1.80,14850.19
 13.00, -0.60,  0.60,14849.85
 14.00, -0.60,  1.80,14850.70
 12.00, -0.60, -0.60,14851.07
 15.00,  0.60, -3.00,14849.50
 16.00,  0.60, -1.80,14850.88
 17.00,  0.60, -0.60,14855.64
 18.00,  0.60,  0.60,14849.49
 19.00,  0.60,  1.80,14850.24
 20.00,  1.80, -3.00,14848.17
 21.00,  1.80, -1.80,14849.06
 22.00,  1.80, -0.60,14847.08
 23.00,  1.80,  0.60,14852.13
 24.00,  1.80,  1.80,14849.55
