"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -3.00, -3.00,16776.95
  1.00, -3.00, -1.80,16857.95
  2.00, -3.00, -0.60,16786.26
  3.00, -3.00,  0.60,16885.19
  4.00, -3.00,  1.80,16792.17
  5.00, -1.80, -3.00,16805.86
  6.00, -1.80, -1.80,16798.42
  7.00, -1.80, -0.60,16777.07
  8.00, -1.80,  0.60,16763.16
  9.00, -1.80,  1.80,16800.09
 10.00, -0.60, -3.00,16881.43
 11.00, -0.60, -1.80,16878.32
 12.00, -0.60, -0.60,16865.32
 13.00, -0.60,  0.60,16794.00
 14.00, -0.60,  1.80,16886.33
 15.00,  0.60, -3.00,16784.70
 16.00,  0.60, -1.80,16814.79
 17.00,  0.60, -0.60,16801.69
 18.00,  0.60,  0.60,16843.83
 19.00,  0.60,  1.80,16826.36
 20.00,  1.80, -3.00,16822.40
 21.00,  1.80, -1.80,16806.04
 22.00,  1.80, -0.60,16779.10
 23.00,  1.80,  0.60,16805.45
 24.00,  1.80,  1.80,16801.64
