"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -3.00, -3.00,3091.42
  1.00, -3.00, -1.80,3095.54
  2.00, -3.00, -0.60,3094.16
  3.00, -3.00,  0.60,3094.02
  4.00, -3.00,  1.80,3093.39
  5.00, -1.80, -3.00,3096.05
  6.00, -1.80, -1.80,3095.17
  7.00, -1.80, -0.60,3093.83
  8.00, -1.80,  0.60,3095.65
  9.00, -1.80,  1.80,3095.69
 10.00, -0.60, -3.00,3094.54
 11.00, -0.60, -1.80,3097.76
 12.00, -0.60, -0.60,3093.31
 13.00, -0.60,  0.60,3093.48
 14.00, -0.60,  1.80,3094.61
 15.00,  0.60, -3.00,3091.25
 16.00,  0.60, -1.80,3093.76
 17.00,  0.60, -0.60,3095.86
 18.00,  0.60,  0.60,3095.24
 19.00,  0.60,  1.80,3091.63
 20.00,  1.80, -3.00,3098.24
 21.00,  1.80, -1.80,3093.68
 22.00,  1.80, -0.60,3096.33
 23.00,  1.80,  0.60,3094.71
 24.00,  1.80,  1.80,3096.46
