"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.00, -2.00,6345.54
  1.00, -2.00, -1.20,6338.95
  2.00, -2.00, -0.40,6344.85
  3.00, -2.00,  0.40,6344.76
  4.00, -2.00,  1.20,6347.73
  5.00, -1.20, -2.00,6346.95
  6.00, -1.20, -1.20,6345.85
  7.00, -1.20, -0.40,6345.35
  8.00, -1.20,  0.40,6345.52
  9.00, -1.20,  1.20,6348.39
 10.00, -0.40, -2.00,6346.27
 11.00, -0.40, -1.20,6346.98
 12.00, -0.40, -0.40,6345.90
 13.00, -0.40,  0.40,6347.97
 14.00, -0.40,  1.20,6347.55
 15.00,  0.40, -2.00,6346.84
 16.00,  0.40, -1.20,6345.65
 17.00,  0.40, -0.40,6344.31
 18.00,  0.40,  0.40,6346.38
 19.00,  0.40,  1.20,6345.83
 20.00,  1.20, -2.00,6345.12
 21.00,  1.20, -1.20,6345.82
 22.00,  1.20, -0.40,6345.24
 23.00,  1.20,  0.40,6347.43
 24.00,  1.20,  1.20,6340.43
