"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -1.90, -1.90,34373.85
  1.00, -1.90, -1.14,34376.31
  2.00, -1.90, -0.38,34375.01
  3.00, -1.90,  0.38,34372.26
  4.00, -1.90,  1.14,34377.57
  5.00, -1.14, -1.90,34377.94
  6.00, -1.14, -1.14,34378.75
  7.00, -1.14, -0.38,34370.35
  8.00, -1.14,  0.38,34371.95
  9.00, -1.14,  1.14,34376.49
 10.00, -0.38, -1.90,34373.25
 11.00, -0.38, -1.14,34381.14
 12.00, -0.38, -0.38,34376.81
 13.00, -0.38,  0.38,34373.00
 14.00, -0.38,  1.14,34376.80
 15.00,  0.38, -1.90,34378.47
 16.00,  0.38, -1.14,34371.60
 17.00,  0.38, -0.38,34367.79
 18.00,  0.38,  0.38,34376.85
 19.00,  0.38,  1.14,34377.11
 20.00,  1.14, -1.90,34373.58
 21.00,  1.14, -1.14,34378.21
 22.00,  1.14, -0.38,34377.80
 23.00,  1.14,  0.38,34374.27
 24.00,  1.14,  1.14,34365.69
