"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -3.00, -3.00,90191.96
  1.00, -3.00, -1.80,89681.10
  2.00, -3.00, -0.60,89577.90
  3.00, -3.00,  0.60,89672.52
  4.00, -3.00,  1.80,89614.11
  5.00, -1.80, -3.00,89740.72
  6.00, -1.80, -1.80,89815.16
  7.00, -1.80, -0.60,89652.01
  8.00, -1.80,  0.60,89627.74
  9.00, -1.80,  1.80,89640.73
 10.00, -0.60, -3.00,89673.40
 11.00, -0.60, -1.80,89602.16
 12.00, -0.60, -0.60,89543.86
 13.00, -0.60,  0.60,89791.23
 14.00, -0.60,  1.80,89778.66
 15.00,  0.60, -3.00,89619.81
 16.00,  0.60, -1.80,90060.42
 17.00,  0.60, -0.60,89871.92
 18.00,  0.60,  0.60,89367.52
 19.00,  0.60,  1.80,89709.72
 20.00,  1.80, -3.00,89540.92
 21.00,  1.80, -1.80,89802.52
 22.00,  1.80, -0.60,89585.84
 23.00,  1.80,  0.60,89441.03
 24.00,  1.80,  1.80,89576.80
