"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -1.70, -1.70,91394.80
  1.00, -1.70, -1.02,91396.26
  2.00, -1.70, -0.34,91392.63
  3.00, -1.70,  0.34,91401.51
  4.00, -1.70,  1.02,91393.95
  5.00, -1.02, -1.70,91401.02
  6.00, -1.02, -1.02,91393.84
  7.00, -1.02, -0.34,91394.25
  8.00, -1.02,  0.34,91396.60
  9.00, -1.02,  1.02,91400.41
 10.00, -0.34, -1.70,91392.66
 11.00, -0.34, -1.02,91396.48
 12.00, -0.34, -0.34,91394.95
 13.00, -0.34,  0.34,91395.64
 14.00, -0.34,  1.02,91394.96
 15.00,  0.34, -1.70,91395.54
 16.00,  0.34, -1.02,91397.04
 17.00,  0.34, -0.34,91393.65
 18.00,  0.34,  0.34,91395.88
 19.00,  0.34,  1.02,91400.43
 20.00,  1.02, -1.70,91401.28
 21.00,  1.02, -1.02,91395.10
 22.00,  1.02, -0.34,91397.43
 23.00,  1.02,  0.34,91395.13
 24.00,  1.02,  1.02,91399.95
