"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -1.80, -1.80,38659.79
  1.00, -1.80, -1.08,38660.68
  2.00, -1.80, -0.36,38675.05
  3.00, -1.80,  0.36,38692.89
  4.00, -1.80,  1.08,38684.96
  5.00, -1.08, -1.80,38660.30
  6.00, -1.08, -1.08,38653.44
  7.00, -1.08, -0.36,38656.68
  8.00, -1.08,  0.36,38683.42
  9.00, -1.08,  1.08,38658.36
 10.00, -0.36, -1.80,38652.76
 11.00, -0.36, -1.08,38655.87
 12.00, -0.36, -0.36,38655.74
 13.00, -0.36,  0.36,38663.92
 14.00, -0.36,  1.08,38655.25
 15.00,  0.36, -1.80,38675.97
 16.00,  0.36, -1.08,38665.09
 17.00,  0.36, -0.36,38659.89
 18.00,  0.36,  0.36,38651.43
 19.00,  0.36,  1.08,38662.80
 20.00,  1.08, -1.80,38656.11
 21.00,  1.08, -1.08,38662.19
 22.00,  1.08, -0.36,38661.16
 23.00,  1.08,  0.36,38664.16
 24.00,  1.08,  1.08,38657.85
