"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.00, -2.00,46495.17
  1.00, -2.00, -1.20,46496.99
  2.00, -2.00, -0.40,46506.77
  3.00, -2.00,  0.40,46494.03
  4.00, -2.00,  1.20,46497.51
  5.00, -1.20, -2.00,46498.69
  6.00, -1.20, -1.20,46493.62
  7.00, -1.20, -0.40,46500.46
  8.00, -1.20,  0.40,46500.78
  9.00, -1.20,  1.20,46498.81
 10.00, -0.40, -2.00,46496.30
 11.00, -0.40, -1.20,46499.11
 12.00, -0.40, -0.40,46476.92
 13.00, -0.40,  0.40,46491.46
 14.00, -0.40,  1.20,46495.16
 15.00,  0.40, -2.00,46503.87
 16.00,  0.40, -1.20,46511.83
 17.00,  0.40, -0.40,46506.04
 18.00,  0.40,  0.40,46507.48
 19.00,  0.40,  1.20,46487.71
 20.00,  1.20, -2.00,46496.45
 21.00,  1.20, -1.20,46492.82
 22.00,  1.20, -0.40,46500.34
 23.00,  1.20,  0.40,46486.73
 24.00,  1.20,  1.20,46502.04
