"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -3.00, -3.00,16848.23
  1.00, -3.00, -1.80,16829.65
  2.00, -3.00, -0.60,16862.12
  3.00, -3.00,  0.60,16867.78
  4.00, -3.00,  1.80,16860.89
  5.00, -1.80, -3.00,16816.10
  6.00, -1.80, -1.80,16812.65
  7.00, -1.80, -0.60,16782.42
  8.00, -1.80,  0.60,16872.57
  9.00, -1.80,  1.80,16866.58
 10.00, -0.60, -3.00,16844.48
 11.00, -0.60, -1.80,16827.54
 12.00, -0.60, -0.60,16775.12
 13.00, -0.60,  0.60,16830.18
 14.00, -0.60,  1.80,16823.42
 15.00,  0.60, -3.00,16847.05
 16.00,  0.60, -1.80,16869.00
 17.00,  0.60, -0.60,16843.06
 18.00,  0.60,  0.60,16847.46
 19.00,  0.60,  1.80,16829.59
 20.00,  1.80, -3.00,16846.94
 21.00,  1.80, -1.80,16833.10
 22.00,  1.80, -0.60,16864.21
 23.00,  1.80,  0.60,16847.08
 24.00,  1.80,  1.80,16842.81
