"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.00, -2.00,6360.29
  1.00, -2.00, -1.20,6358.39
  2.00, -2.00, -0.40,6359.28
  3.00, -2.00,  0.40,6358.38
  4.00, -2.00,  1.20,6364.64
  5.00, -1.20, -2.00,6363.97
  6.00, -1.20, -1.20,6361.45
  7.00, -1.20, -0.40,6360.56
  8.00, -1.20,  0.40,6358.64
  9.00, -1.20,  1.20,6361.33
 10.00, -0.40, -2.00,6361.93
 11.00, -0.40, -1.20,6355.28
 12.00, -0.40, -0.40,6362.95
 13.00, -0.40,  0.40,6362.42
 14.00, -0.40,  1.20,6357.04
 15.00,  0.40, -2.00,6355.53
 16.00,  0.40, -1.20,6358.95
 17.00,  0.40, -0.40,6357.47
 18.00,  0.40,  0.40,6363.14
 19.00,  0.40,  1.20,6362.24
 20.00,  1.20, -2.00,6363.70
 21.00,  1.20, -1.20,6359.81
 22.00,  1.20, -0.40,6360.47
 23.00,  1.20,  0.40,6355.42
 24.00,  1.20,  1.20,6358.39
