"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -4.00, -4.00,28160.69
  1.00, -4.00, -2.40,28158.54
  2.00, -4.00, -0.80,29343.64
  3.00, -4.00,  0.80,29392.32
  4.00, -4.00,  2.40,28172.85
  5.00, -2.40, -4.00,28196.52
  6.00, -2.40, -2.40,28156.48
  7.00, -2.40, -0.80,29334.01
  9.00, -2.40,  2.40,28226.59
  8.00, -2.40,  0.80,29374.10
 10.00, -0.80, -4.00,28828.94
 11.00, -0.80, -2.40,28773.16
 12.00, -0.80, -0.80,28193.38
 14.00, -0.80,  2.40,28132.83
 15.00,  0.80, -4.00,28864.46
 13.00, -0.80,  0.80,29020.65
 16.00,  0.80, -2.40,28803.62
 17.00,  0.80, -0.80,28148.70
 18.00,  0.80,  0.80,29291.28
 19.00,  0.80,  2.40,29290.75
 20.00,  2.40, -4.00,28589.30
 21.00,  2.40, -2.40,28130.84
 22.00,  2.40, -0.80,28142.19
 23.00,  2.40,  0.80,29257.59
 24.00,  2.40,  2.40,29355.61
