"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.00, -2.00,6360.28
  1.00, -2.00, -1.20,6358.20
  2.00, -2.00, -0.40,6354.91
  3.00, -2.00,  0.40,6362.95
  4.00, -2.00,  1.20,6363.92
  5.00, -1.20, -2.00,6357.35
  6.00, -1.20, -1.20,6363.47
  7.00, -1.20, -0.40,6368.01
  8.00, -1.20,  0.40,6353.52
  9.00, -1.20,  1.20,6366.56
 10.00, -0.40, -2.00,6357.37
 11.00, -0.40, -1.20,6356.93
 12.00, -0.40, -0.40,6361.49
 13.00, -0.40,  0.40,6353.96
 14.00, -0.40,  1.20,6356.47
 15.00,  0.40, -2.00,6356.37
 16.00,  0.40, -1.20,6362.42
 17.00,  0.40, -0.40,6349.83
 18.00,  0.40,  0.40,6360.90
 19.00,  0.40,  1.20,6360.48
 20.00,  1.20, -2.00,6357.62
 21.00,  1.20, -1.20,6361.33
 22.00,  1.20, -0.40,6363.04
 23.00,  1.20,  0.40,6353.10
 24.00,  1.20,  1.20,6360.39
