"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  2.00, -1.80, -0.36,13085.84
 11.00, -0.36, -1.08,13082.45
 15.00,  0.36, -1.80,13083.00
 19.00,  0.36,  1.08,13077.64
 20.00,  1.08, -1.80,13077.59
 21.00,  1.08, -1.08,13076.47
 23.00,  1.08,  0.36,13082.48
 24.00,  1.08,  1.08,13084.60
 10.00, -0.36, -1.80,13079.02
  3.00, -1.80,  0.36,13095.82
  5.00, -1.08, -1.80,13079.82
 18.00,  0.36,  0.36,13075.22
  8.00, -1.08,  0.36,13094.01
 12.00, -0.36, -0.36,13076.28
  0.00, -1.80, -1.80,13076.53
 14.00, -0.36,  1.08,13079.20
 22.00,  1.08, -0.36,13079.77
  6.00, -1.08, -1.08,13077.67
 13.00, -0.36,  0.36,13078.63
 17.00,  0.36, -0.36,13078.76
  1.00, -1.80, -1.08,13075.33
  7.00, -1.08, -0.36,13081.83
  9.00, -1.08,  1.08,13084.81
 16.00,  0.36, -1.08,13077.44
  4.00, -1.80,  1.08,13081.22
