"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -1.70, -1.70,-323753.30
  1.00, -1.70, -1.02,-323746.54
  2.00, -1.70, -0.34,-323753.47
  3.00, -1.70,  0.34,-323750.48
  4.00, -1.70,  1.02,-323750.96
  5.00, -1.02, -1.70,-323754.14
  6.00, -1.02, -1.02,-323751.83
  7.00, -1.02, -0.34,-323741.12
  8.00, -1.02,  0.34,-323751.86
  9.00, -1.02,  1.02,-323750.87
 10.00, -0.34, -1.70,-323751.95
 11.00, -0.34, -1.02,-323753.91
 12.00, -0.34, -0.34,-323755.28
 13.00, -0.34,  0.34,-323751.22
 14.00, -0.34,  1.02,-323750.74
 15.00,  0.34, -1.70,-323750.04
 16.00,  0.34, -1.02,-323751.17
 17.00,  0.34, -0.34,-323753.48
 18.00,  0.34,  0.34,-323752.57
 19.00,  0.34,  1.02,-323752.27
 20.00,  1.02, -1.70,-323749.85
 21.00,  1.02, -1.02,-323754.16
 22.00,  1.02, -0.34,-323754.31
 23.00,  1.02,  0.34,-323750.38
 24.00,  1.02,  1.02,-323750.91
