"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.00, -2.00,-264627.68
  1.00, -2.00, -1.20,-264625.30
  2.00, -2.00, -0.40,-264628.07
  3.00, -2.00,  0.40,-264628.92
  4.00, -2.00,  1.20,-264626.37
  5.00, -1.20, -2.00,-264626.35
  6.00, -1.20, -1.20,-264626.57
  7.00, -1.20, -0.40,-264628.08
  8.00, -1.20,  0.40,-264628.31
  9.00, -1.20,  1.20,-264626.50
 10.00, -0.40, -2.00,-264627.82
 11.00, -0.40, -1.20,-264627.12
 12.00, -0.40, -0.40,-264629.33
 13.00, -0.40,  0.40,-264628.42
 14.00, -0.40,  1.20,-264626.63
 15.00,  0.40, -2.00,-264629.92
 16.00,  0.40, -1.20,-264631.11
 17.00,  0.40, -0.40,-264627.64
 18.00,  0.40,  0.40,-264626.59
 19.00,  0.40,  1.20,-264629.97
 20.00,  1.20, -2.00,-264628.45
 21.00,  1.20, -1.20,-264627.14
 22.00,  1.20, -0.40,-264626.25
 23.00,  1.20,  0.40,-264629.30
 24.00,  1.20,  1.20,-264628.49
