"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -1.80, -1.80,96987.12
  1.00, -1.80, -1.08,97068.49
  2.00, -1.80, -0.36,96971.13
  3.00, -1.80,  0.36,96981.85
  4.00, -1.80,  1.08,96969.16
  5.00, -1.08, -1.80,96974.37
  6.00, -1.08, -1.08,97012.65
  7.00, -1.08, -0.36,96969.18
  8.00, -1.08,  0.36,96905.14
  9.00, -1.08,  1.08,96968.38
 10.00, -0.36, -1.80,96948.35
 11.00, -0.36, -1.08,96959.45
 12.00, -0.36, -0.36,96967.51
 13.00, -0.36,  0.36,97127.69
 14.00, -0.36,  1.08,96985.93
 15.00,  0.36, -1.80,96983.64
 16.00,  0.36, -1.08,96978.38
 17.00,  0.36, -0.36,97008.02
 18.00,  0.36,  0.36,97075.39
 19.00,  0.36,  1.08,97186.58
 20.00,  1.08, -1.80,96991.32
 21.00,  1.08, -1.08,97069.76
 22.00,  1.08, -0.36,97043.16
 23.00,  1.08,  0.36,96942.37
 24.00,  1.08,  1.08,96972.81
