"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -3.00, -3.00,32953.54
  1.00, -3.00, -1.80,32959.13
  2.00, -3.00, -0.60,32941.98
  3.00, -3.00,  0.60,32949.78
  4.00, -3.00,  1.80,32956.58
  5.00, -1.80, -3.00,32956.93
  6.00, -1.80, -1.80,32958.96
  7.00, -1.80, -0.60,32957.42
  8.00, -1.80,  0.60,32954.09
  9.00, -1.80,  1.80,32955.03
 10.00, -0.60, -3.00,32972.60
 11.00, -0.60, -1.80,32948.46
 12.00, -0.60, -0.60,32949.06
 13.00, -0.60,  0.60,32978.56
 14.00, -0.60,  1.80,32950.92
 15.00,  0.60, -3.00,32953.60
 16.00,  0.60, -1.80,32963.98
 17.00,  0.60, -0.60,32970.25
 18.00,  0.60,  0.60,32953.25
 19.00,  0.60,  1.80,32964.63
 20.00,  1.80, -3.00,32952.74
 21.00,  1.80, -1.80,32958.61
 22.00,  1.80, -0.60,32955.04
 23.00,  1.80,  0.60,32955.70
 24.00,  1.80,  1.80,32967.78
