"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -3.00, -3.00,31532.95
  1.00, -3.00, -1.80,31537.90
  2.00, -3.00, -0.60,31656.58
  3.00, -3.00,  0.60,31537.05
  4.00, -3.00,  1.80,31519.50
  5.00, -1.80, -3.00,31585.98
  6.00, -1.80, -1.80,31664.89
  7.00, -1.80, -0.60,31733.09
  8.00, -1.80,  0.60,31513.91
  9.00, -1.80,  1.80,31508.59
 10.00, -0.60, -3.00,31513.04
 11.00, -0.60, -1.80,31635.79
 12.00, -0.60, -0.60,31514.83
 13.00, -0.60,  0.60,31587.85
 14.00, -0.60,  1.80,31538.03
 15.00,  0.60, -3.00,31661.32
 16.00,  0.60, -1.80,31512.73
 17.00,  0.60, -0.60,31550.84
 18.00,  0.60,  0.60,31552.22
 19.00,  0.60,  1.80,31564.98
 20.00,  1.80, -3.00,31501.38
 21.00,  1.80, -1.80,31585.08
 22.00,  1.80, -0.60,31574.53
 23.00,  1.80,  0.60,31657.43
 24.00,  1.80,  1.80,31549.72
