"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.00, -2.00,92580.92
  1.00, -2.00, -1.20,92577.67
  2.00, -2.00, -0.40,92565.16
  3.00, -2.00,  0.40,92578.43
  4.00, -2.00,  1.20,92573.86
  5.00, -1.20, -2.00,92574.12
  6.00, -1.20, -1.20,92585.92
  7.00, -1.20, -0.40,92570.42
  8.00, -1.20,  0.40,92574.95
  9.00, -1.20,  1.20,92580.06
 10.00, -0.40, -2.00,92571.80
 11.00, -0.40, -1.20,92574.22
 12.00, -0.40, -0.40,92566.04
 13.00, -0.40,  0.40,92570.89
 14.00, -0.40,  1.20,92570.47
 15.00,  0.40, -2.00,92569.12
 16.00,  0.40, -1.20,92569.66
 17.00,  0.40, -0.40,92572.28
 18.00,  0.40,  0.40,92567.88
 19.00,  0.40,  1.20,92574.28
 20.00,  1.20, -2.00,92576.21
 21.00,  1.20, -1.20,92576.42
 22.00,  1.20, -0.40,92567.40
 23.00,  1.20,  0.40,92573.51
 24.00,  1.20,  1.20,92573.91
