"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.00, -2.00,39377.47
  1.00, -2.00, -1.20,39377.60
  2.00, -2.00, -0.40,39383.50
  3.00, -2.00,  0.40,39376.78
  4.00, -2.00,  1.20,39377.26
  5.00, -1.20, -2.00,39376.73
  6.00, -1.20, -1.20,39383.01
  7.00, -1.20, -0.40,39380.29
  8.00, -1.20,  0.40,39377.60
  9.00, -1.20,  1.20,39376.69
 10.00, -0.40, -2.00,39371.23
 11.00, -0.40, -1.20,39371.72
 12.00, -0.40, -0.40,39376.14
 13.00, -0.40,  0.40,39376.91
 14.00, -0.40,  1.20,39377.54
 15.00,  0.40, -2.00,39376.69
 16.00,  0.40, -1.20,39378.53
 17.00,  0.40, -0.40,39377.36
 18.00,  0.40,  0.40,39376.51
 19.00,  0.40,  1.20,39377.20
 20.00,  1.20, -2.00,39377.04
 21.00,  1.20, -1.20,39376.66
 22.00,  1.20, -0.40,39376.77
 23.00,  1.20,  0.40,39376.78
 24.00,  1.20,  1.20,39376.81
