"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.20, -2.20,52658.20
  1.00, -2.20, -1.32,52658.67
  2.00, -2.20, -0.44,52659.10
  3.00, -2.20,  0.44,52658.43
  4.00, -2.20,  1.32,52659.13
  5.00, -1.32, -2.20,52666.15
  6.00, -1.32, -1.32,52666.83
  7.00, -1.32, -0.44,52654.53
  8.00, -1.32,  0.44,52658.84
  9.00, -1.32,  1.32,52649.42
 10.00, -0.44, -2.20,52662.00
 11.00, -0.44, -1.32,52663.54
 12.00, -0.44, -0.44,52659.35
 13.00, -0.44,  0.44,52658.98
 14.00, -0.44,  1.32,52657.25
 15.00,  0.44, -2.20,52668.69
 16.00,  0.44, -1.32,52660.18
 17.00,  0.44, -0.44,52659.31
 18.00,  0.44,  0.44,52658.53
 19.00,  0.44,  1.32,52659.34
 20.00,  1.32, -2.20,52664.63
 21.00,  1.32, -1.32,52662.68
 22.00,  1.32, -0.44,52659.05
 23.00,  1.32,  0.44,52658.34
 24.00,  1.32,  1.32,52656.20
