"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -3.00, -3.00,48882.59
  1.00, -3.00, -1.80,48882.52
  2.00, -3.00, -0.60,48878.99
  3.00, -3.00,  0.60,48881.78
  4.00, -3.00,  1.80,48876.28
  5.00, -1.80, -3.00,48882.48
  6.00, -1.80, -1.80,48883.15
  7.00, -1.80, -0.60,48880.52
  8.00, -1.80,  0.60,48881.58
  9.00, -1.80,  1.80,48888.40
 10.00, -0.60, -3.00,48882.39
 11.00, -0.60, -1.80,48889.64
 12.00, -0.60, -0.60,48886.27
 13.00, -0.60,  0.60,48920.14
 14.00, -0.60,  1.80,48911.75
 15.00,  0.60, -3.00,48882.18
 16.00,  0.60, -1.80,48881.34
 17.00,  0.60, -0.60,48882.68
 18.00,  0.60,  0.60,48882.10
 19.00,  0.60,  1.80,48881.17
 20.00,  1.80, -3.00,48882.46
 21.00,  1.80, -1.80,48881.87
 22.00,  1.80, -0.60,48883.98
 23.00,  1.80,  0.60,48881.20
 24.00,  1.80,  1.80,48882.16
