"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.40, -2.40,49653.46
  1.00, -2.40, -1.44,49653.06
  2.00, -2.40, -0.48,49653.53
  3.00, -2.40,  0.48,49655.53
  4.00, -2.40,  1.44,49654.33
  5.00, -1.44, -2.40,49653.51
  6.00, -1.44, -1.44,49653.37
  7.00, -1.44, -0.48,49656.91
  8.00, -1.44,  0.48,49656.60
  9.00, -1.44,  1.44,49653.37
 10.00, -0.48, -2.40,49653.26
 11.00, -0.48, -1.44,49653.35
 12.00, -0.48, -0.48,49653.28
 13.00, -0.48,  0.48,49655.62
 14.00, -0.48,  1.44,49654.85
 15.00,  0.48, -2.40,49653.19
 16.00,  0.48, -1.44,49653.26
 17.00,  0.48, -0.48,49652.90
 18.00,  0.48,  0.48,49654.01
 19.00,  0.48,  1.44,49654.06
 20.00,  1.44, -2.40,49653.25
 21.00,  1.44, -1.44,49653.08
 22.00,  1.44, -0.48,49653.16
 23.00,  1.44,  0.48,49652.99
 24.00,  1.44,  1.44,49653.04
