"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 17.00,  0.44, -0.44,-20880.11
  1.00, -2.20, -1.32,-20880.22
  8.00, -1.32,  0.44,-20881.52
  3.00, -2.20,  0.44,-20880.70
 12.00, -0.44, -0.44,-20880.45
  9.00, -1.32,  1.32,-20880.39
  7.00, -1.32, -0.44,-20880.36
 13.00, -0.44,  0.44,-20879.78
  4.00, -2.20,  1.32,-20880.28
 18.00,  0.44,  0.44,-20880.45
  0.00, -2.20, -2.20,-20880.51
 11.00, -0.44, -1.32,-20881.49
  6.00, -1.32, -1.32,-20882.09
 16.00,  0.44, -1.32,-20881.00
 10.00, -0.44, -2.20,-20875.80
 19.00,  0.44,  1.32,-20880.70
 14.00, -0.44,  1.32,-20880.61
 15.00,  0.44, -2.20,-20880.65
  2.00, -2.20, -0.44,-20880.60
  5.00, -1.32, -2.20,-20881.97
 20.00,  1.32, -2.20,-20880.72
 21.00,  1.32, -1.32,-20880.60
 24.00,  1.32,  1.32,-20880.43
 22.00,  1.32, -0.44,-20879.98
 23.00,  1.32,  0.44,-20880.43
