"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  7.00, -1.20, -0.40,-1543.42
  8.00, -1.20,  0.40,-1543.24
  5.00, -1.20, -2.00,-1543.30
 24.00,  1.20,  1.20,-1543.39
 19.00,  0.40,  1.20,-1543.76
 18.00,  0.40,  0.40,-1543.54
  9.00, -1.20,  1.20,-1543.38
 20.00,  1.20, -2.00,-1543.59
 23.00,  1.20,  0.40,-1543.48
  2.00, -2.00, -0.40,-1543.38
 13.00, -0.40,  0.40,-1542.93
 12.00, -0.40, -0.40,-1543.78
 22.00,  1.20, -0.40,-1543.37
  6.00, -1.20, -1.20,-1543.63
 21.00,  1.20, -1.20,-1543.62
 16.00,  0.40, -1.20,-1542.26
 14.00, -0.40,  1.20,-1543.60
  4.00, -2.00,  1.20,-1543.93
  3.00, -2.00,  0.40,-1543.38
  1.00, -2.00, -1.20,-1542.68
  0.00, -2.00, -2.00,-1543.71
 15.00,  0.40, -2.00,-1543.36
 10.00, -0.40, -2.00,-1543.37
 11.00, -0.40, -1.20,-1543.96
 17.00,  0.40, -0.40,-1543.93
