"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -3.00, -3.00,-123844.23
  1.00, -3.00, -1.80,-123848.94
  2.00, -3.00, -0.60,-123845.61
  3.00, -3.00,  0.60,-123844.82
  4.00, -3.00,  1.80,-123848.95
  5.00, -1.80, -3.00,-123846.05
  6.00, -1.80, -1.80,-123849.28
  7.00, -1.80, -0.60,-123841.74
  8.00, -1.80,  0.60,-123841.87
 10.00, -0.60, -3.00,-123843.21
 12.00, -0.60, -0.60,-123848.02
 13.00, -0.60,  0.60,-123820.87
 14.00, -0.60,  1.80,-123842.89
 15.00,  0.60, -3.00,-123846.71
 16.00,  0.60, -1.80,-123846.95
 17.00,  0.60, -0.60,-123847.85
 18.00,  0.60,  0.60,-123839.07
 19.00,  0.60,  1.80,-123846.88
 20.00,  1.80, -3.00,-123845.20
 22.00,  1.80, -0.60,-123836.68
 24.00,  1.80,  1.80,-123851.00
 21.00,  1.80, -1.80,-123863.95
 11.00, -0.60, -1.80,-123846.92
 23.00,  1.80,  0.60,-123843.06
  9.00, -1.80,  1.80,-123851.41
