"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 24.00,  1.26,  1.26,-49782.91
 18.00,  0.42,  0.42,-49783.72
  9.00, -1.26,  1.26,-49784.91
 15.00,  0.42, -2.10,-49783.72
  0.00, -2.10, -2.10,-49783.04
 23.00,  1.26,  0.42,-49783.07
  4.00, -2.10,  1.26,-49784.35
 12.00, -0.42, -0.42,-49783.27
  8.00, -1.26,  0.42,-49782.73
  3.00, -2.10,  0.42,-49783.91
 17.00,  0.42, -0.42,-49782.70
 20.00,  1.26, -2.10,-49783.70
 22.00,  1.26, -0.42,-49783.30
  2.00, -2.10, -0.42,-49782.85
  5.00, -1.26, -2.10,-49784.19
 10.00, -0.42, -2.10,-49780.56
 19.00,  0.42,  1.26,-49783.00
 14.00, -0.42,  1.26,-49782.44
 16.00,  0.42, -1.26,-49787.05
 11.00, -0.42, -1.26,-49783.23
 13.00, -0.42,  0.42,-49783.01
 21.00,  1.26, -1.26,-49783.67
  6.00, -1.26, -1.26,-49782.10
  1.00, -2.10, -1.26,-49782.20
  7.00, -1.26, -0.42,-49783.87
