"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.20, -2.20,-52079.68
 24.00,  1.32,  1.32,-52079.47
 21.00,  1.32, -1.32,-52079.54
  7.00, -1.32, -0.44,-52079.35
 23.00,  1.32,  0.44,-52079.47
  6.00, -1.32, -1.32,-52079.65
  3.00, -2.20,  0.44,-52079.71
  4.00, -2.20,  1.32,-52079.11
  9.00, -1.32,  1.32,-52079.93
 14.00, -0.44,  1.32,-52079.72
 20.00,  1.32, -2.20,-52079.87
  2.00, -2.20, -0.44,-52079.46
  8.00, -1.32,  0.44,-52079.34
  1.00, -2.20, -1.32,-52079.59
 12.00, -0.44, -0.44,-52079.61
 10.00, -0.44, -2.20,-52078.40
 19.00,  0.44,  1.32,-52079.70
  5.00, -1.32, -2.20,-52079.56
 16.00,  0.44, -1.32,-52076.90
 18.00,  0.44,  0.44,-52076.73
 11.00, -0.44, -1.32,-52079.14
 15.00,  0.44, -2.20,-52078.06
 17.00,  0.44, -0.44,-52076.87
 13.00, -0.44,  0.44,-52078.95
 22.00,  1.32, -0.44,-52077.99
