"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 24.00,  1.80,  1.80,11636.39
  3.00, -3.00,  0.60,11636.96
 17.00,  0.60, -0.60,11636.76
  0.00, -3.00, -3.00,11636.54
  5.00, -1.80, -3.00,11636.98
 20.00,  1.80, -3.00,11636.72
 14.00, -0.60,  1.80,11636.81
 13.00, -0.60,  0.60,11636.63
  1.00, -3.00, -1.80,11636.44
  9.00, -1.80,  1.80,11636.03
  2.00, -3.00, -0.60,11636.35
 11.00, -0.60, -1.80,11635.92
 12.00, -0.60, -0.60,11637.02
  6.00, -1.80, -1.80,11636.87
 21.00,  1.80, -1.80,11636.36
 18.00,  0.60,  0.60,11636.79
 10.00, -0.60, -3.00,11636.81
 22.00,  1.80, -0.60,11637.97
 19.00,  0.60,  1.80,11636.76
  7.00, -1.80, -0.60,11636.92
 23.00,  1.80,  0.60,11636.71
 16.00,  0.60, -1.80,11636.90
  4.00, -3.00,  1.80,11636.59
  8.00, -1.80,  0.60,11637.56
 15.00,  0.60, -3.00,11636.39
