"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 16.00,  0.50, -1.50,-19059.85
  7.00, -1.50, -0.50,-19064.38
 20.00,  1.50, -2.50,-19062.83
  6.00, -1.50, -1.50,-19059.95
 19.00,  0.50,  1.50,-19053.91
 13.00, -0.50,  0.50,-19084.94
 17.00,  0.50, -0.50,-19066.94
  5.00, -1.50, -2.50,-19061.33
  4.00, -2.50,  1.50,-19055.68
  2.00, -2.50, -0.50,-19065.41
  9.00, -1.50,  1.50,-19072.12
  0.00, -2.50, -2.50,-19068.15
 21.00,  1.50, -1.50,-19057.09
  3.00, -2.50,  0.50,-19060.71
 10.00, -0.50, -2.50,-19067.90
 11.00, -0.50, -1.50,-19061.50
 15.00,  0.50, -2.50,-19059.05
 14.00, -0.50,  1.50,-19060.87
 18.00,  0.50,  0.50,-19073.37
  1.00, -2.50, -1.50,-19069.44
  8.00, -1.50,  0.50,-19055.08
 12.00, -0.50, -0.50,-19066.75
 24.00,  1.50,  1.50,-19081.01
 23.00,  1.50,  0.50,-19058.97
 22.00,  1.50, -0.50,-19061.96
