"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  7.00, -1.20, -0.40,-19123.74
 12.00, -0.40, -0.40,-19131.45
  5.00, -1.20, -2.00,-19130.99
  9.00, -1.20,  1.20,-19129.50
 17.00,  0.40, -0.40,-19130.02
  1.00, -2.00, -1.20,-19137.06
  2.00, -2.00, -0.40,-19130.61
 10.00, -0.40, -2.00,-19130.25
 11.00, -0.40, -1.20,-19130.67
 14.00, -0.40,  1.20,-19127.35
 15.00,  0.40, -2.00,-19132.93
 13.00, -0.40,  0.40,-19134.14
 20.00,  1.20, -2.00,-19131.54
  0.00, -2.00, -2.00,-19129.43
 19.00,  0.40,  1.20,-19135.95
  4.00, -2.00,  1.20,-19140.70
  3.00, -2.00,  0.40,-19130.43
  8.00, -1.20,  0.40,-19135.16
 16.00,  0.40, -1.20,-19137.23
 22.00,  1.20, -0.40,-19141.37
 18.00,  0.40,  0.40,-19134.33
  6.00, -1.20, -1.20,-19130.21
 21.00,  1.20, -1.20,-19131.65
 23.00,  1.20,  0.40,-19127.99
 24.00,  1.20,  1.20,-19136.81
