"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 20.00,  1.32, -2.20,-32463.74
 13.00, -0.44,  0.44,-32463.06
  9.00, -1.32,  1.32,-32464.84
 11.00, -0.44, -1.32,-32457.96
  7.00, -1.32, -0.44,-32460.66
 19.00,  0.44,  1.32,-32464.24
  0.00, -2.20, -2.20,-32464.63
 12.00, -0.44, -0.44,-32464.49
 23.00,  1.32,  0.44,-32462.82
  3.00, -2.20,  0.44,-32456.89
 15.00,  0.44, -2.20,-32467.80
  2.00, -2.20, -0.44,-32460.60
 24.00,  1.32,  1.32,-32460.15
 16.00,  0.44, -1.32,-32464.93
 21.00,  1.32, -1.32,-32469.00
  1.00, -2.20, -1.32,-32462.91
  4.00, -2.20,  1.32,-32463.64
 10.00, -0.44, -2.20,-32456.30
  8.00, -1.32,  0.44,-32462.33
 18.00,  0.44,  0.44,-32460.55
 17.00,  0.44, -0.44,-32464.03
 14.00, -0.44,  1.32,-32464.13
 22.00,  1.32, -0.44,-32467.99
  6.00, -1.32, -1.32,-32468.76
  5.00, -1.32, -2.20,-32458.80
