"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 13.00, -0.52,  0.52,3659.82
  5.00, -1.56, -2.60,3661.92
  4.00, -2.60,  1.56,3655.28
 20.00,  1.56, -2.60,3658.58
 23.00,  1.56,  0.52,3664.59
 12.00, -0.52, -0.52,3660.59
  1.00, -2.60, -1.56,3658.99
 11.00, -0.52, -1.56,3665.20
  0.00, -2.60, -2.60,3661.95
 14.00, -0.52,  1.56,3661.96
  8.00, -1.56,  0.52,3662.63
 19.00,  0.52,  1.56,3664.43
 16.00,  0.52, -1.56,3662.65
 21.00,  1.56, -1.56,3664.43
 17.00,  0.52, -0.52,3653.02
 24.00,  1.56,  1.56,3663.71
 10.00, -0.52, -2.60,3664.28
  7.00, -1.56, -0.52,3661.41
  6.00, -1.56, -1.56,3665.57
 18.00,  0.52,  0.52,3663.84
  3.00, -2.60,  0.52,3652.24
 15.00,  0.52, -2.60,3671.40
  9.00, -1.56,  1.56,3663.74
  2.00, -2.60, -0.52,3660.73
 22.00,  1.56, -0.52,3660.13
