"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 24.00,  1.44,  1.44,-13426.83
 21.00,  1.44, -1.44,-13425.65
 23.00,  1.44,  0.48,-13425.84
 11.00, -0.48, -1.44,-13423.94
  8.00, -1.44,  0.48,-13424.37
 22.00,  1.44, -0.48,-13428.27
 16.00,  0.48, -1.44,-13425.33
  6.00, -1.44, -1.44,-13432.51
 19.00,  0.48,  1.44,-13426.71
  4.00, -2.40,  1.44,-13427.86
 12.00, -0.48, -0.48,-13426.35
 10.00, -0.48, -2.40,-13425.83
 14.00, -0.48,  1.44,-13424.61
  2.00, -2.40, -0.48,-13428.09
  0.00, -2.40, -2.40,-13429.77
  3.00, -2.40,  0.48,-13427.42
  9.00, -1.44,  1.44,-13426.29
 17.00,  0.48, -0.48,-13425.17
 18.00,  0.48,  0.48,-13428.93
 20.00,  1.44, -2.40,-13426.14
  1.00, -2.40, -1.44,-13426.95
 13.00, -0.48,  0.48,-13425.77
 15.00,  0.48, -2.40,-13428.90
  5.00, -1.44, -2.40,-13424.39
  7.00, -1.44, -0.48,-13427.67
