"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -3.00, -3.00,-26137.44
  1.00, -3.00, -1.80,-26141.96
  2.00, -3.00, -0.60,-26147.08
  3.00, -3.00,  0.60,-26134.03
  4.00, -3.00,  1.80,-26136.15
  5.00, -1.80, -3.00,-26138.19
  6.00, -1.80, -1.80,-26132.25
  7.00, -1.80, -0.60,-26143.36
  8.00, -1.80,  0.60,-26141.41
  9.00, -1.80,  1.80,-26135.34
 10.00, -0.60, -3.00,-26140.92
 11.00, -0.60, -1.80,-26134.33
 12.00, -0.60, -0.60,-26136.15
 13.00, -0.60,  0.60,-26139.14
 14.00, -0.60,  1.80,-26135.00
 15.00,  0.60, -3.00,-26139.74
 16.00,  0.60, -1.80,-26133.28
 17.00,  0.60, -0.60,-26142.66
 18.00,  0.60,  0.60,-26135.50
 19.00,  0.60,  1.80,-26134.99
 20.00,  1.80, -3.00,-26143.82
 21.00,  1.80, -1.80,-26127.79
 22.00,  1.80, -0.60,-26140.95
 23.00,  1.80,  0.60,-26149.96
 24.00,  1.80,  1.80,-26134.90
