"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.00, -2.00,50590.83
  1.00, -2.00, -1.20,50592.84
  2.00, -2.00, -0.40,50587.18
  3.00, -2.00,  0.40,50588.95
  4.00, -2.00,  1.20,50587.22
  5.00, -1.20, -2.00,50593.33
  6.00, -1.20, -1.20,50593.34
  7.00, -1.20, -0.40,50590.59
  8.00, -1.20,  0.40,50587.99
  9.00, -1.20,  1.20,50593.18
 10.00, -0.40, -2.00,50592.61
 11.00, -0.40, -1.20,50588.63
 12.00, -0.40, -0.40,50594.46
 13.00, -0.40,  0.40,50612.00
 14.00, -0.40,  1.20,50593.77
 15.00,  0.40, -2.00,50589.84
 16.00,  0.40, -1.20,50587.75
 17.00,  0.40, -0.40,50593.61
 18.00,  0.40,  0.40,50608.59
 19.00,  0.40,  1.20,50620.45
 20.00,  1.20, -2.00,50604.49
 21.00,  1.20, -1.20,50591.90
 22.00,  1.20, -0.40,50592.87
 23.00,  1.20,  0.40,50590.67
 24.00,  1.20,  1.20,50591.22
