"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.10, -2.10,42499.44
  1.00, -2.10, -1.26,42499.58
  2.00, -2.10, -0.42,42497.90
  3.00, -2.10,  0.42,42498.86
  4.00, -2.10,  1.26,42499.62
  5.00, -1.26, -2.10,42499.66
  6.00, -1.26, -1.26,42499.50
  7.00, -1.26, -0.42,42498.72
  8.00, -1.26,  0.42,42499.16
  9.00, -1.26,  1.26,42499.33
 10.00, -0.42, -2.10,42497.13
 11.00, -0.42, -1.26,42497.86
 12.00, -0.42, -0.42,42497.16
 13.00, -0.42,  0.42,42499.10
 14.00, -0.42,  1.26,42498.13
 15.00,  0.42, -2.10,42498.12
 16.00,  0.42, -1.26,42496.93
 17.00,  0.42, -0.42,42498.92
 18.00,  0.42,  0.42,42500.75
 19.00,  0.42,  1.26,42499.86
 20.00,  1.26, -2.10,42498.42
 21.00,  1.26, -1.26,42499.90
 22.00,  1.26, -0.42,42500.85
 23.00,  1.26,  0.42,42502.69
 24.00,  1.26,  1.26,42498.97
