"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.10, -2.10,-4649.95
  1.00, -2.10, -1.26,-4649.11
  2.00, -2.10, -0.42,-4651.20
  3.00, -2.10,  0.42,-4649.99
  4.00, -2.10,  1.26,-4651.39
  5.00, -1.26, -2.10,-4649.62
  6.00, -1.26, -1.26,-4650.24
  7.00, -1.26, -0.42,-4652.12
  8.00, -1.26,  0.42,-4650.81
  9.00, -1.26,  1.26,-4650.57
 10.00, -0.42, -2.10,-4651.49
 11.00, -0.42, -1.26,-4650.00
 12.00, -0.42, -0.42,-4650.67
 13.00, -0.42,  0.42,-4650.58
 14.00, -0.42,  1.26,-4649.37
 15.00,  0.42, -2.10,-4649.36
 16.00,  0.42, -1.26,-4651.26
 17.00,  0.42, -0.42,-4649.86
 18.00,  0.42,  0.42,-4652.26
 19.00,  0.42,  1.26,-4652.90
 20.00,  1.26, -2.10,-4649.82
 21.00,  1.26, -1.26,-4652.85
 22.00,  1.26, -0.42,-4651.36
 23.00,  1.26,  0.42,-4654.33
 24.00,  1.26,  1.26,-4650.40
