"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 12.00, -0.44, -0.44,-32459.42
 22.00,  1.32, -0.44,-32459.49
  7.00, -1.32, -0.44,-32459.50
 13.00, -0.44,  0.44,-32459.46
  6.00, -1.32, -1.32,-32459.24
  8.00, -1.32,  0.44,-32459.48
  9.00, -1.32,  1.32,-32459.39
  0.00, -2.20, -2.20,-32459.54
 14.00, -0.44,  1.32,-32459.37
  4.00, -2.20,  1.32,-32459.31
 19.00,  0.44,  1.32,-32459.01
 20.00,  1.32, -2.20,-32459.51
 21.00,  1.32, -1.32,-32459.34
  1.00, -2.20, -1.32,-32459.40
 16.00,  0.44, -1.32,-32458.64
  3.00, -2.20,  0.44,-32457.93
 18.00,  0.44,  0.44,-32458.53
 15.00,  0.44, -2.20,-32459.42
 24.00,  1.32,  1.32,-32455.05
  2.00, -2.20, -0.44,-32458.41
 17.00,  0.44, -0.44,-32459.01
 11.00, -0.44, -1.32,-32456.06
 23.00,  1.32,  0.44,-32454.94
 10.00, -0.44, -2.20,-32451.20
  5.00, -1.32, -2.20,-32451.11
