"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 21.00,  2.58, -2.58,-65849.04
 19.00,  0.86,  2.58,-65848.80
 14.00, -0.86,  2.58,-65849.09
  1.00, -4.30, -2.58,-65849.15
 24.00,  2.58,  2.58,-65848.67
 10.00, -0.86, -4.30,-65849.08
 20.00,  2.58, -4.30,-65848.65
  9.00, -2.58,  2.58,-65849.09
 22.00,  2.58, -0.86,-65848.84
 13.00, -0.86,  0.86,-65849.10
 17.00,  0.86, -0.86,-65848.84
  0.00, -4.30, -4.30,-65848.87
 18.00,  0.86,  0.86,-65847.92
 23.00,  2.58,  0.86,-65848.06
  8.00, -2.58,  0.86,-65845.17
  6.00, -2.58, -2.58,-65848.30
  2.00, -4.30, -0.86,-65846.75
 15.00,  0.86, -4.30,-65846.34
  5.00, -2.58, -4.30,-65848.72
  7.00, -2.58, -0.86,-65842.64
 11.00, -0.86, -2.58,-65846.03
  4.00, -4.30,  2.58,-65848.32
 12.00, -0.86, -0.86,-65848.09
  3.00, -4.30,  0.86,-65843.80
 16.00,  0.86, -2.58,-65845.58
