"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.60, -2.60,3658.38
 10.00, -0.52, -2.60,3658.65
  9.00, -1.56,  1.56,3658.30
  4.00, -2.60,  1.56,3658.26
  1.00, -2.60, -1.56,3658.26
  6.00, -1.56, -1.56,3658.29
 15.00,  0.52, -2.60,3658.81
  5.00, -1.56, -2.60,3658.54
  3.00, -2.60,  0.52,3658.49
 11.00, -0.52, -1.56,3659.51
 16.00,  0.52, -1.56,3660.08
 14.00, -0.52,  1.56,3659.14
 17.00,  0.52, -0.52,3658.37
  8.00, -1.56,  0.52,3658.52
 13.00, -0.52,  0.52,3658.55
 12.00, -0.52, -0.52,3658.58
  2.00, -2.60, -0.52,3659.99
  7.00, -1.56, -0.52,3659.21
 20.00,  1.56, -2.60,3658.41
 23.00,  1.56,  0.52,3658.28
 22.00,  1.56, -0.52,3658.55
 24.00,  1.56,  1.56,3658.35
 21.00,  1.56, -1.56,3659.18
 18.00,  0.52,  0.52,3658.32
 19.00,  0.52,  1.56,3658.46
