"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 12.00, -0.52, -0.52,216.05
 17.00,  0.52, -0.52,216.10
 10.00, -0.52, -2.60,215.87
  9.00, -1.56,  1.56,216.05
 11.00, -0.52, -1.56,215.97
 16.00,  0.52, -1.56,216.13
  0.00, -2.60, -2.60,217.84
  2.00, -2.60, -0.52,215.84
  5.00, -1.56, -2.60,216.04
 19.00,  0.52,  1.56,216.10
  3.00, -2.60,  0.52,216.56
 18.00,  0.52,  0.52,217.16
 14.00, -0.52,  1.56,215.72
  4.00, -2.60,  1.56,216.17
  8.00, -1.56,  0.52,216.30
  1.00, -2.60, -1.56,217.52
  6.00, -1.56, -1.56,217.55
 21.00,  1.56, -1.56,216.83
  7.00, -1.56, -0.52,216.47
 15.00,  0.52, -2.60,215.95
 13.00, -0.52,  0.52,216.51
 20.00,  1.56, -2.60,216.43
 22.00,  1.56, -0.52,217.03
 23.00,  1.56,  0.52,217.74
 24.00,  1.56,  1.56,216.00
