"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  1.00, -3.50, -2.10,11457.90
  0.00, -3.50, -3.50,11457.43
  2.00, -3.50, -0.70,11457.88
  3.00, -3.50,  0.70,11458.04
  4.00, -3.50,  2.10,11458.00
  5.00, -2.10, -3.50,11457.57
  6.00, -2.10, -2.10,11456.92
  8.00, -2.10,  0.70,11457.90
  9.00, -2.10,  2.10,11457.60
 10.00, -0.70, -3.50,11458.67
  7.00, -2.10, -0.70,11457.83
 11.00, -0.70, -2.10,11457.63
 12.00, -0.70, -0.70,11458.03
 13.00, -0.70,  0.70,11457.17
 14.00, -0.70,  2.10,11457.74
 15.00,  0.70, -3.50,11457.71
 16.00,  0.70, -2.10,11458.25
 17.00,  0.70, -0.70,11457.81
 18.00,  0.70,  0.70,11457.89
 19.00,  0.70,  2.10,11457.14
 20.00,  2.10, -3.50,11457.76
 21.00,  2.10, -2.10,11457.69
 22.00,  2.10, -0.70,11457.72
 23.00,  2.10,  0.70,11456.76
 24.00,  2.10,  2.10,11457.98
