"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.40, -2.40,-32819.41
  1.00, -2.40, -1.44,-32823.57
  2.00, -2.40, -0.48,-32827.82
  3.00, -2.40,  0.48,-32825.17
  4.00, -2.40,  1.44,-32814.24
  5.00, -1.44, -2.40,-32821.68
  6.00, -1.44, -1.44,-32824.03
  7.00, -1.44, -0.48,-32827.80
  8.00, -1.44,  0.48,-32806.18
  9.00, -1.44,  1.44,-32807.34
 10.00, -0.48, -2.40,-32827.73
 11.00, -0.48, -1.44,-32828.53
 12.00, -0.48, -0.48,-32827.63
 13.00, -0.48,  0.48,-32806.97
 14.00, -0.48,  1.44,-32823.21
 15.00,  0.48, -2.40,-32828.28
 16.00,  0.48, -1.44,-32827.69
 17.00,  0.48, -0.48,-32825.54
 18.00,  0.48,  0.48,-32827.29
 19.00,  0.48,  1.44,-32827.57
 20.00,  1.44, -2.40,-32827.87
 21.00,  1.44, -1.44,-32825.84
 22.00,  1.44, -0.48,-32817.75
 23.00,  1.44,  0.48,-32820.46
 24.00,  1.44,  1.44,-32827.67
