"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -3.00, -3.00,-97271.56
  1.00, -3.00, -1.80,-97274.65
  2.00, -3.00, -0.60,-97271.33
  3.00, -3.00,  0.60,-97271.19
  4.00, -3.00,  1.80,-97271.55
  5.00, -1.80, -3.00,-97271.57
  6.00, -1.80, -1.80,-97271.58
  7.00, -1.80, -0.60,-97271.15
  8.00, -1.80,  0.60,-97271.97
  9.00, -1.80,  1.80,-97271.57
 10.00, -0.60, -3.00,-97271.98
 11.00, -0.60, -1.80,-97271.71
 12.00, -0.60, -0.60,-97271.73
 13.00, -0.60,  0.60,-97270.53
 14.00, -0.60,  1.80,-97271.43
 15.00,  0.60, -3.00,-97271.70
 16.00,  0.60, -1.80,-97271.31
 17.00,  0.60, -0.60,-97271.59
 18.00,  0.60,  0.60,-97271.56
 19.00,  0.60,  1.80,-97271.37
 20.00,  1.80, -3.00,-97271.70
 21.00,  1.80, -1.80,-97272.20
 22.00,  1.80, -0.60,-97271.72
 23.00,  1.80,  0.60,-97271.63
 24.00,  1.80,  1.80,-97271.79
