"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -3.50, -3.50,-39567.21
  1.00, -3.50, -2.10,-39682.32
  2.00, -3.50, -0.70,-39567.28
  3.00, -3.50,  0.70,-39565.10
  4.00, -3.50,  2.10,-39564.68
  6.00, -2.10, -2.10,-39563.76
  7.00, -2.10, -0.70,-39564.83
  9.00, -2.10,  2.10,-39558.02
  8.00, -2.10,  0.70,-39558.69
 10.00, -0.70, -3.50,-39568.61
 11.00, -0.70, -2.10,-39567.52
 12.00, -0.70, -0.70,-39648.12
 13.00, -0.70,  0.70,-39564.55
 14.00, -0.70,  2.10,-39560.86
 16.00,  0.70, -2.10,-39776.66
 18.00,  0.70,  0.70,-39678.91
 17.00,  0.70, -0.70,-39564.99
 19.00,  0.70,  2.10,-39566.42
 20.00,  2.10, -3.50,-39565.67
 21.00,  2.10, -2.10,-39566.81
 15.00,  0.70, -3.50,-39574.66
  5.00, -2.10, -3.50,-39559.26
 24.00,  2.10,  2.10,-39568.17
 22.00,  2.10, -0.70,-39559.93
 23.00,  2.10,  0.70,-39662.44
