"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  1.00, -2.50, -1.50,-35097.73
  0.00, -2.50, -2.50,-35095.58
  2.00, -2.50, -0.50,-35097.75
  3.00, -2.50,  0.50,-35100.43
  4.00, -2.50,  1.50,-35094.34
  5.00, -1.50, -2.50,-35098.39
  7.00, -1.50, -0.50,-35096.81
  8.00, -1.50,  0.50,-35096.37
  9.00, -1.50,  1.50,-35090.88
  6.00, -1.50, -1.50,-35095.43
 10.00, -0.50, -2.50,-35096.45
 11.00, -0.50, -1.50,-35097.21
 12.00, -0.50, -0.50,-35095.17
 13.00, -0.50,  0.50,-35097.32
 16.00,  0.50, -1.50,-35095.97
 14.00, -0.50,  1.50,-35097.59
 15.00,  0.50, -2.50,-35097.63
 17.00,  0.50, -0.50,-35096.91
 18.00,  0.50,  0.50,-35097.45
 19.00,  0.50,  1.50,-35098.16
 20.00,  1.50, -2.50,-35098.17
 21.00,  1.50, -1.50,-35096.34
 22.00,  1.50, -0.50,-35097.43
 23.00,  1.50,  0.50,-35096.53
 24.00,  1.50,  1.50,-35097.92
