"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -4.00, -4.00,-18238.24
  1.00, -4.00, -2.40,-18217.98
  2.00, -4.00, -0.80,-18238.51
  3.00, -4.00,  0.80,-18219.08
  4.00, -4.00,  2.40,-18219.02
  5.00, -2.40, -4.00,-18220.21
  6.00, -2.40, -2.40,-18236.76
  7.00, -2.40, -0.80,-18238.84
  8.00, -2.40,  0.80,-18238.54
  9.00, -2.40,  2.40,-18237.66
 10.00, -0.80, -4.00,-18219.07
 11.00, -0.80, -2.40,-18238.51
 12.00, -0.80, -0.80,-18238.62
 13.00, -0.80,  0.80,-18236.30
 14.00, -0.80,  2.40,-18237.25
 15.00,  0.80, -4.00,-18238.63
 16.00,  0.80, -2.40,-18237.57
 17.00,  0.80, -0.80,-18234.51
 18.00,  0.80,  0.80,-18238.38
 19.00,  0.80,  2.40,-18238.54
 20.00,  2.40, -4.00,-18238.48
 21.00,  2.40, -2.40,-18238.87
 22.00,  2.40, -0.80,-18236.44
 23.00,  2.40,  0.80,-18238.82
 24.00,  2.40,  2.40,-18219.84
