"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  7.00, -1.80, -0.60,-251677.35
 21.00,  1.80, -1.80,-251675.42
  2.00, -3.00, -0.60,-251675.06
  3.00, -3.00,  0.60,-251676.82
 19.00,  0.60,  1.80,-251676.77
 10.00, -0.60, -3.00,-251676.58
  5.00, -1.80, -3.00,-251674.44
  4.00, -3.00,  1.80,-251674.82
  0.00, -3.00, -3.00,-251676.66
  8.00, -1.80,  0.60,-251676.15
 17.00,  0.60, -0.60,-251676.62
 18.00,  0.60,  0.60,-251671.34
 22.00,  1.80, -0.60,-251674.45
 15.00,  0.60, -3.00,-251675.35
 20.00,  1.80, -3.00,-251676.04
 13.00, -0.60,  0.60,-251675.19
 24.00,  1.80,  1.80,-251676.71
  1.00, -3.00, -1.80,-251675.71
  6.00, -1.80, -1.80,-251670.67
 12.00, -0.60, -0.60,-251673.19
 11.00, -0.60, -1.80,-251673.99
 14.00, -0.60,  1.80,-251674.91
 23.00,  1.80,  0.60,-251675.01
 16.00,  0.60, -1.80,-251675.23
  9.00, -1.80,  1.80,-251674.90
