"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 11.00, -0.48, -1.44,-76119.16
 12.00, -0.48, -0.48,-76120.67
 17.00,  0.48, -0.48,-76120.24
 24.00,  1.44,  1.44,-76120.83
  4.00, -2.40,  1.44,-76114.27
  6.00, -1.44, -1.44,-76119.04
  1.00, -2.40, -1.44,-76119.32
 20.00,  1.44, -2.40,-76120.37
 16.00,  0.48, -1.44,-76120.46
 15.00,  0.48, -2.40,-76119.30
 23.00,  1.44,  0.48,-76119.64
 22.00,  1.44, -0.48,-76117.21
  0.00, -2.40, -2.40,-76118.40
 19.00,  0.48,  1.44,-76120.05
  7.00, -1.44, -0.48,-76118.26
 21.00,  1.44, -1.44,-76117.72
  9.00, -1.44,  1.44,-76112.83
 18.00,  0.48,  0.48,-76118.87
 10.00, -0.48, -2.40,-76119.03
 13.00, -0.48,  0.48,-76105.95
  2.00, -2.40, -0.48,-76118.31
  3.00, -2.40,  0.48,-76114.04
 14.00, -0.48,  1.44,-76111.11
  5.00, -1.44, -2.40,-76120.80
  8.00, -1.44,  0.48,-76110.27
