"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -3.50, -3.50,-212555.77
  1.00, -3.50, -2.10,-212555.16
  2.00, -3.50, -0.70,-212554.04
  3.00, -3.50,  0.70,-212556.95
  4.00, -3.50,  2.10,-212548.29
  5.00, -2.10, -3.50,-212556.90
  6.00, -2.10, -2.10,-212549.73
  7.00, -2.10, -0.70,-212553.29
  8.00, -2.10,  0.70,-212556.03
  9.00, -2.10,  2.10,-212552.94
 10.00, -0.70, -3.50,-212554.33
 11.00, -0.70, -2.10,-212554.36
 12.00, -0.70, -0.70,-212548.12
 13.00, -0.70,  0.70,-212553.19
 14.00, -0.70,  2.10,-212549.90
 15.00,  0.70, -3.50,-212551.75
 16.00,  0.70, -2.10,-212551.50
 17.00,  0.70, -0.70,-212549.47
 18.00,  0.70,  0.70,-212554.72
 19.00,  0.70,  2.10,-212553.34
 20.00,  2.10, -3.50,-212553.45
 21.00,  2.10, -2.10,-212553.20
 22.00,  2.10, -0.70,-212551.63
 23.00,  2.10,  0.70,-212555.50
 24.00,  2.10,  2.10,-212550.46
