"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  8.00, -2.10,  0.70,-118708.58
 21.00,  2.10, -2.10,-118707.90
  9.00, -2.10,  2.10,-118709.61
  1.00, -3.50, -2.10,-118710.46
 14.00, -0.70,  2.10,-118709.91
  4.00, -3.50,  2.10,-118707.85
  3.00, -3.50,  0.70,-118709.45
  7.00, -2.10, -0.70,-118708.36
 19.00,  0.70,  2.10,-118709.05
 20.00,  2.10, -3.50,-118709.79
 23.00,  2.10,  0.70,-118709.03
  2.00, -3.50, -0.70,-118708.69
 17.00,  0.70, -0.70,-118709.92
 15.00,  0.70, -3.50,-118709.61
 24.00,  2.10,  2.10,-118709.20
 22.00,  2.10, -0.70,-118709.96
  0.00, -3.50, -3.50,-118709.52
 13.00, -0.70,  0.70,-118709.43
 10.00, -0.70, -3.50,-118709.68
 12.00, -0.70, -0.70,-118709.31
  6.00, -2.10, -2.10,-118710.92
 11.00, -0.70, -2.10,-118709.75
 18.00,  0.70,  0.70,-118708.94
 16.00,  0.70, -2.10,-118709.83
  5.00, -2.10, -3.50,-118709.77
