"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 14.00, -0.44,  1.32,-32456.31
  0.00, -2.20, -2.20,-32456.28
 20.00,  1.32, -2.20,-32456.21
 15.00,  0.44, -2.20,-32456.51
  9.00, -1.32,  1.32,-32456.47
  6.00, -1.32, -1.32,-32456.41
 16.00,  0.44, -1.32,-32456.41
 21.00,  1.32, -1.32,-32456.26
 13.00, -0.44,  0.44,-32456.29
  7.00, -1.32, -0.44,-32456.48
  1.00, -2.20, -1.32,-32456.39
  4.00, -2.20,  1.32,-32456.25
 12.00, -0.44, -0.44,-32456.34
  3.00, -2.20,  0.44,-32454.64
  8.00, -1.32,  0.44,-32455.87
 11.00, -0.44, -1.32,-32454.76
 18.00,  0.44,  0.44,-32456.35
 17.00,  0.44, -0.44,-32454.64
  2.00, -2.20, -0.44,-32454.54
 22.00,  1.32, -0.44,-32455.69
 23.00,  1.32,  0.44,-32453.50
 10.00, -0.44, -2.20,-32452.44
 19.00,  0.44,  1.32,-32456.30
  5.00, -1.32, -2.20,-32452.74
 24.00,  1.32,  1.32,-32453.19
