"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 21.00,  1.44, -1.44,-35734.82
  5.00, -1.44, -2.40,-35732.64
  1.00, -2.40, -1.44,-35732.82
 20.00,  1.44, -2.40,-35732.55
  9.00, -1.44,  1.44,-35734.21
 23.00,  1.44,  0.48,-35732.40
 10.00, -0.48, -2.40,-35732.26
 18.00,  0.48,  0.48,-35729.58
 15.00,  0.48, -2.40,-35732.53
  0.00, -2.40, -2.40,-35732.83
  6.00, -1.44, -1.44,-35732.93
  2.00, -2.40, -0.48,-35731.70
  4.00, -2.40,  1.44,-35732.44
 11.00, -0.48, -1.44,-35732.78
 13.00, -0.48,  0.48,-35713.54
 16.00,  0.48, -1.44,-35728.41
  8.00, -1.44,  0.48,-35731.96
  7.00, -1.44, -0.48,-35725.51
 14.00, -0.48,  1.44,-35730.78
  3.00, -2.40,  0.48,-35727.08
 24.00,  1.44,  1.44,-35735.20
 19.00,  0.48,  1.44,-35730.21
 22.00,  1.44, -0.48,-35726.46
 12.00, -0.48, -0.48,-35738.03
 17.00,  0.48, -0.48,-35706.89
