"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 17.00,  0.50, -0.50,-30318.42
  0.00, -2.50, -2.50,-30317.80
 22.00,  1.50, -0.50,-30318.12
  6.00, -1.50, -1.50,-30318.17
 10.00, -0.50, -2.50,-30319.40
  4.00, -2.50,  1.50,-30318.83
 19.00,  0.50,  1.50,-30316.84
 23.00,  1.50,  0.50,-30319.94
 18.00,  0.50,  0.50,-30318.74
  1.00, -2.50, -1.50,-30318.16
  8.00, -1.50,  0.50,-30318.33
 24.00,  1.50,  1.50,-30318.90
  9.00, -1.50,  1.50,-30318.65
  5.00, -1.50, -2.50,-30318.28
  7.00, -1.50, -0.50,-30318.68
 21.00,  1.50, -1.50,-30319.24
  2.00, -2.50, -0.50,-30318.83
  3.00, -2.50,  0.50,-30318.44
 12.00, -0.50, -0.50,-30320.21
 14.00, -0.50,  1.50,-30318.36
 20.00,  1.50, -2.50,-30317.78
 13.00, -0.50,  0.50,-30320.31
 16.00,  0.50, -1.50,-30306.78
 11.00, -0.50, -1.50,-30316.96
 15.00,  0.50, -2.50,-30309.84
