"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  9.00, -1.44,  1.44,-13424.60
 12.00, -0.48, -0.48,-13425.18
 19.00,  0.48,  1.44,-13424.38
 22.00,  1.44, -0.48,-13426.76
  3.00, -2.40,  0.48,-13423.74
  4.00, -2.40,  1.44,-13424.23
  7.00, -1.44, -0.48,-13424.88
 14.00, -0.48,  1.44,-13424.44
  0.00, -2.40, -2.40,-13424.78
 20.00,  1.44, -2.40,-13424.70
 18.00,  0.48,  0.48,-13424.98
  1.00, -2.40, -1.44,-13424.40
  5.00, -1.44, -2.40,-13424.76
 21.00,  1.44, -1.44,-13426.68
 10.00, -0.48, -2.40,-13421.50
 17.00,  0.48, -0.48,-13424.91
 16.00,  0.48, -1.44,-13424.24
 24.00,  1.44,  1.44,-13424.49
 11.00, -0.48, -1.44,-13425.00
 23.00,  1.44,  0.48,-13424.00
  6.00, -1.44, -1.44,-13425.97
  8.00, -1.44,  0.48,-13424.51
 13.00, -0.48,  0.48,-13424.82
 15.00,  0.48, -2.40,-13423.28
  2.00, -2.40, -0.48,-13424.96
