"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 11.00, -0.54, -1.62,-24464.16
  6.00, -1.62, -1.62,-24464.29
 22.00,  1.62, -0.54,-24464.08
 15.00,  0.54, -2.70,-24464.35
  1.00, -2.70, -1.62,-24464.30
 21.00,  1.62, -1.62,-24464.25
  5.00, -1.62, -2.70,-24464.50
 16.00,  0.54, -1.62,-24464.30
 23.00,  1.62,  0.54,-24463.99
  0.00, -2.70, -2.70,-24464.22
 14.00, -0.54,  1.62,-24463.10
 19.00,  0.54,  1.62,-24460.92
  9.00, -1.62,  1.62,-24462.53
 20.00,  1.62, -2.70,-24464.25
 10.00, -0.54, -2.70,-24463.87
 12.00, -0.54, -0.54,-24464.08
 17.00,  0.54, -0.54,-24464.09
 24.00,  1.62,  1.62,-24461.05
 18.00,  0.54,  0.54,-24462.55
  4.00, -2.70,  1.62,-24454.24
  2.00, -2.70, -0.54,-24441.46
 13.00, -0.54,  0.54,-24457.18
  8.00, -1.62,  0.54,-24444.02
  7.00, -1.62, -0.54,-24441.87
  3.00, -2.70,  0.54,-24442.76
