"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 12.00, -0.42, -0.42,-49785.61
  8.00, -1.26,  0.42,-49786.24
 24.00,  1.26,  1.26,-49788.08
  4.00, -2.10,  1.26,-49786.90
  6.00, -1.26, -1.26,-49785.66
  1.00, -2.10, -1.26,-49788.43
 23.00,  1.26,  0.42,-49786.57
  0.00, -2.10, -2.10,-49787.73
 10.00, -0.42, -2.10,-49784.49
 22.00,  1.26, -0.42,-49785.98
 13.00, -0.42,  0.42,-49787.90
 11.00, -0.42, -1.26,-49785.54
  9.00, -1.26,  1.26,-49787.46
  3.00, -2.10,  0.42,-49786.56
 20.00,  1.26, -2.10,-49789.96
 14.00, -0.42,  1.26,-49786.77
 21.00,  1.26, -1.26,-49788.38
  2.00, -2.10, -0.42,-49786.47
 15.00,  0.42, -2.10,-49787.03
  5.00, -1.26, -2.10,-49789.69
  7.00, -1.26, -0.42,-49786.52
 17.00,  0.42, -0.42,-49786.51
 18.00,  0.42,  0.42,-49786.91
 19.00,  0.42,  1.26,-49788.08
 16.00,  0.42, -1.26,-49790.10
