"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  1.00, -2.20, -1.32,-54836.77
  6.00, -1.32, -1.32,-54836.18
 20.00,  1.32, -2.20,-54836.99
 18.00,  0.44,  0.44,-54836.51
 15.00,  0.44, -2.20,-54836.28
 14.00, -0.44,  1.32,-54836.70
 21.00,  1.32, -1.32,-54836.75
  7.00, -1.32, -0.44,-54837.05
 11.00, -0.44, -1.32,-54836.07
  3.00, -2.20,  0.44,-54836.81
 10.00, -0.44, -2.20,-54836.96
 19.00,  0.44,  1.32,-54836.50
 16.00,  0.44, -1.32,-54836.68
 17.00,  0.44, -0.44,-54836.54
  0.00, -2.20, -2.20,-54836.43
  9.00, -1.32,  1.32,-54834.61
 13.00, -0.44,  0.44,-54832.68
 12.00, -0.44, -0.44,-54836.78
  5.00, -1.32, -2.20,-54837.12
  2.00, -2.20, -0.44,-54836.73
  4.00, -2.20,  1.32,-54836.72
  8.00, -1.32,  0.44,-54833.23
 23.00,  1.32,  0.44,-54836.54
 22.00,  1.32, -0.44,-54836.79
 24.00,  1.32,  1.32,-54836.51
