"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -3.50, -3.50,11453.29
  1.00, -3.50, -2.10,11448.70
  2.00, -3.50, -0.70,11452.41
  3.00, -3.50,  0.70,11453.85
  4.00, -3.50,  2.10,11453.28
  5.00, -2.10, -3.50,11454.46
  6.00, -2.10, -2.10,11449.39
  7.00, -2.10, -0.70,11447.99
  8.00, -2.10,  0.70,11451.81
  9.00, -2.10,  2.10,11452.94
 10.00, -0.70, -3.50,11453.78
 11.00, -0.70, -2.10,11447.72
 12.00, -0.70, -0.70,11453.72
 13.00, -0.70,  0.70,11444.61
 14.00, -0.70,  2.10,11454.08
 15.00,  0.70, -3.50,11457.54
 16.00,  0.70, -2.10,11451.33
 17.00,  0.70, -0.70,11454.80
 18.00,  0.70,  0.70,11453.87
 19.00,  0.70,  2.10,11450.98
 20.00,  2.10, -3.50,11450.73
 21.00,  2.10, -2.10,11451.34
 22.00,  2.10, -0.70,11455.55
 23.00,  2.10,  0.70,11450.05
 24.00,  2.10,  2.10,11451.12
